0,-450
0,15
0,19
0,27
0,44
0,44
0,732
0,911
1,"  'Cause that's our thing you know? Heh.
 That's the whole plan? Well it's better than your plan for buying a boat in New Mexico.
Dude what are you really doing here? I didn't like the person I was in L.
A.
And I didn't know where else to go.
 Please do not tell your parents.
 Well I won't but I think people are gonna notice if you go to a boat show and don't come back with a boat.
Oh my God there he is.
Get down!  Oh my God.
Oh!  What are you doing?  What happened to your plan?  Oh! I panicked.
I didn't know he'd be wearing a tank top.
 Don't tell my parents I crashed your car.
 Yeah deal.
 They didn't even put me in.
 I'm sorry sweetheart.
You did some great cheering from the bench and for someone who never plays you sweat a lot.
 Maybe they'll put me in next game.
 Sure they will.
No way they'll do that.
 What the?  Huh?  Whoa!  Whoa! What a boat.
 Can I go on your boat?  I don't see what's stopping you.
Yeah! Woohoo! I'm going on a boat! I got my way! Where's your car? I junked it.
Who needs a car when you got a boat?  Uh well  Whoa sweet a waterbed.
On a boat! Think of the amount of floating! Please stay out of the bedroom.
 Does she have a name?  Who?  The boat? It does not.
 Come on.
You gotta give her a name.
You should call her the Escape From L.
A.
That actually is a good name for it the nongendered object.
Oh she's a good girl.
I can tell she's a good girl isn't she?  Or are you a bad girl?  Are you flirting with my boat right now? No just kidding around.
I'm kind of the comedian of the family.
 Mind if I get on top of her?  Knock yourself out.
Dad don't be gross.
 Wow you really got a boat.
 Yeah sure did.
So does that mean you're leaving? Oh I uh Yeah I guess uh I guess I did do what I came here to do.
You don't have to go right away right? At least stay till the end of the weekend.
 Yeah? I don't wanna put you out.
 Oh it's no bother.
And at least now you have your own bed.
Besides heh everyone here loves you.
Uh everyone? Don't use the bathroom.
It'll end up in the driveway.
 Too late.
 Seriously stay as long as you want.
 What?  BoJack great news.
Do you still want to go to New York? Because Jill Pill Jill Pill? I don't care about this.
Okay moving on.
Do you remember when we were at Herb's funeral  and you told me?  Whatever it is I don't care.
Oh there's a kitchen! Can we make pizza bagels? Yeah family dinner on the boat.
Hey uh I'm not gonna be back on set Monday.
What? How long do I have to keep putting out fires for you? I don't know Princess Carolyn.
Just let them burn.
 What?  I think I might be here a while.
Listen I Well who's getting seasick? Just kidding.
It's such an eyesore.
Well I'm sure if we ask them nicely they'll move the boat.
BoJack?  Yeah?  Supper's ready.
So I had another meeting today with the Drama Chair at SFCC.
They're gonna offer me a position.
 What? That's amazing.
 Oh that's cool.
Congratulations.
There's a real stickinthemud dean there who doesn't like my inyourface style.
If I know me it might lead to some pretty zany misadventures.
Mm.
Brussels sprouts are delicious Mom.
It's funny you brought up the Brussels sprouts because I think they're terrible.
I'm just kidding around.
These are great hon.
Penny did you hear my bit about the Brussels sprouts? A bit is what they call a joke in show business.
 Right BoJack?  That's right.
String a bunch of those together and you got yourself a riff.
You're not funny Dad.
Your jokes are never funny.
Okay I think someone's in a mood.
Oh my God.
I'm not in a mood.
Whatever.
Get bent.
I hate my life.
I can't wait to be dead.
I'll talk to her.
Everyone said for months  that Diego was gonna ask me to prom.
 Yeah?  But he keeps not doing it.
 That is so typical Diego.
So I thought okay if he's not going to ask me I'll ask him.
 Way to take initiative.
 Oh.
Rookie mistake.
So I asked him and he said no.
And then this other girl Lyla K.
 came up to him and was just like Hey."
1,"  [both laugh]  What about you? I've always wanted to go to a super nice restaurant and order everything on the menu.
Oh yeah! That's like first day millionaire stuff.
We should go sometime together.
 Todd can I ask you something?  Of course.
What's your deal? I feel like you like me but you don't like me but you like me and I don't know what that is.
Are you gay? Whoa.
Why would you even? You can tell me if you're gay.
It's fine.
This isn't the 1600s or some places in the present.
I'm not gay.
I mean I don't think I am but I don't think I'm straight either.
I don't know what I am.
I think I might be nothing.
 Oh.
Well that's okay.
 Yeah? Yeah of course.
[Southern accent] Thank you so much.
Oh crap! I accidentally tipped the waitress eight million dollars! Well guess I'm broke again.
[both laughing]  [doorbell rings]  Who could that be? Pizza? Katrina you're not pizza.
Ugh.
This fight again? Listen buttsniffer I work for a guy and we're looking for a guy.
You're supposed to be this big hero now so someone brought your name up in a meeting and now I have an opportunity for you.
Oh is it being married to you again? Because I'd rather get euthanized.
Spoiler alert from Marley & Me.
That wasn't a spoiler until you said the name of the movie.
If you've got a gig for me you can go through my new manager.
Oh I'm not talking about a gig.
Then what are you talking about? Oh my God this is so classic Katrina! How would you like to be the governor? Whoa.
 Of California?  Yes of California.
[Diane] Who's at the door? Is it pizza?  [phone ringing faintly]  [sighs] Welcome back.
Your first meeting's at 10:00 and you have a lunch at 11:30.
 Thank you Judah.
 Also I have someone on line two trying to get in touch with BoJack Horseman.
I have no idea how she got this number.
It sounds like it's a teenage girl.
Tell her I don't work for BoJack.
Mmhmm.
I'm sorry.
We can't help you.
[Stars"" continues playing] [""Stars"" continues playing] The latest story that I know Is the one that I'm supposed to go out with And the latest story that I know Is the one that I'm supposed to go out with And the latest story that I know Is the one that I'm supposed to go out with And the latest story that I know Is the one that I'm supposed to go out with"
1,"  [slow ballad playing] [music stops abruptly] Sarah Lynn is very tired.
Can you just tell her BoJack's here? Horseman.
I'm an old friend.
